0 -7596.0151367188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24_1 .4811024051115075905630601492981463149921
.2109375000 -7595.8041992188 1 2 3 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 27 34 24_43 .0020384353785014650893338100670726494296
.2114257813 -7595.8037109375 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 28 37 24_44 .0020128157850776955428006242612415815952
.2143554688 -7595.8007812500 1 2 3 4 5 6 7 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 28 34 24_45 .0018657202341867650490523750170889222810
.2177734376 -7595.7973632812 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 34 24_46 .0017076391182009773846842823982547133275
.2202148438 -7595.7949218750 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 28 24_47 .0016029925556520415230761496074132793575
.2221679688 -7595.7929687500 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 29 24_48 .0015239118053888685149218958440478699582
.2270507813 -7595.7880859375 1 2 3 4 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 34 46 24_49 .0013428597394729271930987518232570651970
.2285156250 -7595.7866210938 1 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 31 34 24_50 .0012928611935595251129242387454603504766
.2338867188 -7595.7812500000 1 2 3 4 5 6 7 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 31 34 24_51 .0011249411443235240467408832279414093837
.2373046876 -7595.7778320312 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 46 24_52 .0010296257008532410783796198948878825877
.2377929688 -7595.7773437500 1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 31 24_53 .0010166850961401925808645357296963456955
.2397460938 -7595.7753906250 1 2 3 4 5 6 7 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 37 39 24_54 .0009665287682766183167133571715077872367
